res1,res2,pair,ind1,ind2,roh1,roh2,roh3,ind1roh1,ind1roh2,ind2roh1,ind2roh2
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW8,0,0,0,336116191,260165870,314931496,275076038
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW9,0,0,0,336116191,260165870,259710267,216389572
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW5,837731,0,0,336116191,260165870,301190312,241966240
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI16,BEN_NE3,1220110,0,0,336116191,260165870,348824990,277485474
Kanha,Periyar,Kanha-Periyar,BEN_CI16,BEN_SI5,3301236,1854701,0,336116191,260165870,388807649,344660143
Kanha,Corbett,Kanha-Corbett,BEN_CI16,BEN_NOR1,2136513,2136513,0,336116191,260165870,493462124,396388890
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW57,2601962,2601962,0,336116191,260165870,715528898,638361097
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW13,2631993,2631993,0,336116191,260165870,389020649,344174628
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI16,BEN_NE2,5197178,3566599,0,336116191,260165870,309793891,233913209
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI16,BEN_NE1,6560091,3761554,0,336116191,260165870,393846751,256700947
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW14,4141401,4141401,0,336116191,260165870,222305063,177541519
Kanha,Wayanad,Kanha-Wayanad,BEN_CI16,BEN_SI6,5872431,4237837,0,336116191,260165870,406301442,319674486
Kanha,Wayanad,Kanha-Wayanad,BEN_CI16,BEN_SI8,5916803,5485446,0,336116191,260165870,379454962,300308119
Kanha,Wayanad,Kanha-Wayanad,BEN_CI16,BEN_SI1,7335864,5858097,0,336116191,260165870,443001240,345341326
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW11,8724412,8724412,0,336116191,260165870,310616571,263905963
Kanha,Wayanad,Kanha-Wayanad,BEN_CI16,BEN_SI9,9714351,8828598,0,336116191,260165870,442912449,339499389
Kanha,Corbett,Kanha-Corbett,BEN_CI16,BEN_NOR2,20080534,15647592,0,336116191,260165870,418514715,315997124
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW3,17073762,17073762,0,336116191,260165870,248403143,207797688
Kanha,Zoo,Kanha-Zoo,BEN_CI16,ZSB_01,32398600,30944033,0,336116191,260165870,343260407,256023333
Kanha,Wayanad,Kanha-Wayanad,BEN_CI16,BEN_SI3,1557294,0,0,336116191,260165870,430214378,345974583
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW4,10690399,10690399,10690399,336116191,260165870,191834501,158691252
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW10,11115084,11115084,11115084,336116191,260165870,365458206,328923565
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW12,11317241,11317241,11317241,336116191,260165870,262764295,227052846
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW19,16385383,16385383,11317241,336116191,260165870,277759581,232322355
Kanha,Lalgarh,Kanha-Lalgarh,BEN_CI16,LGS1,60124404,57797793,11965255,336116191,260165870,504605978,404772144
Kanha,Kanha,Kanha-Kanha,BEN_CI16,BEN_CI19,71296182,64644457,12226642,336116191,260165870,351322149,241812071
Kanha,Kanha,Kanha-Kanha,BEN_CI16,BEN_CI5,132799434,130367090,34109543,336116191,260165870,377525892,289122614
Kanha,Kanha,Kanha-Kanha,BEN_CI16,BEN_CI6,167172718,166533847,61161323,336116191,260165870,406156567,304633087
Kanha,Kanha,Kanha-Kanha,BEN_CI16,BEN_CI3,412631046,405262054,213803250,336116191,260165870,115966378,114426239
Kanha,Kanha,Kanha-Kanha,BEN_CI16,BEN_CI15,436607371,433099081,225451074,336116191,260165870,431734746,313676252
Kanha,Kanha,Kanha-Kanha,BEN_CI16,BEN_CI4,395884948,391342669,247035071,336116191,260165870,351998277,270707157
Kanha,Kanha,Kanha-Kanha,BEN_CI16,BEN_CI18,503645160,501229461,367022743,336116191,260165870,395198516,280261230
Kanha,Zoo,Kanha-Zoo,BEN_CI16,ZSB_04,1892110,1892110,0,336116191,260165870,370211960,302302125
Kanha,Zoo,Kanha-Zoo,BEN_CI16,ZSB_03,2082865,2082865,0,336116191,260165870,305927069,241409256
Kanha,Zoo,Kanha-Zoo,BEN_CI16,ZSB_02,4378695,2586985,0,336116191,260165870,338557583,260820720
Kanha,Zoo,Kanha-Zoo,BEN_CI16,ZSB_05,5597460,4764298,0,336116191,260165870,326718091,246263826
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW14,0,0,0,395198516,280261230,222305063,177541519
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW17,0,0,0,395198516,280261230,286658737,256140006
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW8,0,0,0,395198516,280261230,314931496,275076038
Kanha,Periyar,Kanha-Periyar,BEN_CI18,BEN_SI5,636234,0,0,395198516,280261230,388807649,344660143
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI18,BEN_NE3,803768,0,0,395198516,280261230,348824990,277485474
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW24,994807,0,0,395198516,280261230,347774688,301627698
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW6,2086687,1153181,0,395198516,280261230,294235530,248527765
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW57,1676366,1676366,0,395198516,280261230,715528898,638361097
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW55,2400457,2400457,0,395198516,280261230,592057634,534097691
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW10,2514604,2514604,0,395198516,280261230,365458206,328923565
Kanha,Corbett,Kanha-Corbett,BEN_CI18,BEN_NOR1,6219049,2611330,0,395198516,280261230,493462124,396388890
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW13,2688521,2688521,0,395198516,280261230,389020649,344174628
Kanha,Wayanad,Kanha-Wayanad,BEN_CI18,BEN_SI6,3215210,2863494,0,395198516,280261230,406301442,319674486
Kanha,Wayanad,Kanha-Wayanad,BEN_CI18,BEN_SI8,4487431,2873629,0,395198516,280261230,379454962,300308119
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI18,BEN_NE2,7951264,3199799,0,395198516,280261230,309793891,233913209
Kanha,Wayanad,Kanha-Wayanad,BEN_CI18,BEN_SI9,4295876,3276126,0,395198516,280261230,442912449,339499389
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW9,4518514,3586328,0,395198516,280261230,259710267,216389572
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW3,3710949,3710949,0,395198516,280261230,248403143,207797688
Kanha,Wayanad,Kanha-Wayanad,BEN_CI18,BEN_SI1,4625064,3755420,0,395198516,280261230,443001240,345341326
Kanha,Wayanad,Kanha-Wayanad,BEN_CI18,BEN_SI3,8891501,7885945,0,395198516,280261230,430214378,345974583
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW12,8605210,8605210,0,395198516,280261230,262764295,227052846
Kanha,Corbett,Kanha-Corbett,BEN_CI18,BEN_NOR2,14391095,11390629,0,395198516,280261230,418514715,315997124
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW11,11402504,11402504,0,395198516,280261230,310616571,263905963
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW5,11812505,11812505,0,395198516,280261230,301190312,241966240
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI18,BEN_NE1,17879529,14209167,0,395198516,280261230,393846751,256700947
Kanha,Zoo,Kanha-Zoo,BEN_CI18,ZSB_01,39739972,36842147,0,395198516,280261230,343260407,256023333
Kanha,Lalgarh,Kanha-Lalgarh,BEN_CI18,LGS1,66843678,64932507,0,395198516,280261230,504605978,404772144
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW19,22313328,22313328,10379547,395198516,280261230,277759581,232322355
Kanha,Zoo,Kanha-Zoo,BEN_CI18,ZSB_05,24492630,23738806,10722636,395198516,280261230,326718091,246263826
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW18,11641874,10775323,10775323,395198516,280261230,281506214,242877521
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI18,BEN_NW4,15700915,15700915,11036926,395198516,280261230,191834501,158691252
Kanha,Kanha,Kanha-Kanha,BEN_CI18,BEN_CI5,227184488,226222128,89881504,395198516,280261230,377525892,289122614
Kanha,Kanha,Kanha-Kanha,BEN_CI18,BEN_CI3,295224563,279603089,141890950,395198516,280261230,115966378,114426239
Kanha,Kanha,Kanha-Kanha,BEN_CI18,BEN_CI19,360961428,357625941,255701717,395198516,280261230,351322149,241812071
Kanha,Kanha,Kanha-Kanha,BEN_CI18,BEN_CI16,503645160,501229461,367022743,395198516,280261230,336116191,260165870
Kanha,Kanha,Kanha-Kanha,BEN_CI18,BEN_CI6,920953390,912636097,486734599,395198516,280261230,406156567,304633087
Kanha,Kanha,Kanha-Kanha,BEN_CI18,BEN_CI15,1151719574,1145913594,990151434,395198516,280261230,431734746,313676252
